# Region type : patch inlet
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000119048   	1.518878e+04	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00017551    	3.989283e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000236913   	1.333555e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000305187   	2.461671e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000380927   	2.519124e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000461086   	2.261030e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000545501   	2.422494e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00063224    	2.404295e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000722315   	1.942032e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000815091   	2.101358e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000910768   	1.795127e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00100956    	1.486715e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00111173    	1.237286e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0012163     	8.590344e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00132474    	6.302406e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00143596    	5.129721e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00155014    	3.131533e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0016675     	4.719392e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00178654    	2.543514e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00190913    	5.680760e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0020336     	3.126263e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00216005    	6.011818e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00228858    	3.546159e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00241928    	6.079517e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00255228    	3.838576e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00268769    	6.313893e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00282566    	3.429208e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00296633    	6.046778e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.003107      	2.998118e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00325061    	4.973738e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00339733    	2.446028e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00354406    	3.816148e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0036942     	1.534315e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00384434    	1.341849e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00399823    	3.179799e-04	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00415212    	-7.651725e-02	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00431017    	-2.501749e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00446822    	-3.074720e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00462627    	-4.965829e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00478911    	-6.666646e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00495195    	-7.793544e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00511479    	-9.722498e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00528325    	-1.152642e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0054517     	-1.260926e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00562016    	-1.442887e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00578861    	-1.595610e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00596409    	-1.763069e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00613956    	-1.912881e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00631504    	-2.078638e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00649051    	-2.278382e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00666599    	-2.382069e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00684146    	-2.587716e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00701693    	-2.751260e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00719241    	-2.883674e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00737958    	-3.084113e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00756675    	-3.207114e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00775393    	-3.422737e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0079411     	-3.497288e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00812827    	-3.690956e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00831545    	-3.793800e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00850262    	-3.952797e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00868979    	-4.101598e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00887696    	-4.193551e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00906414    	-4.354303e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00925131    	-4.446527e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00943848    	-4.591719e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00962565    	-4.703226e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00981283    	-4.830163e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.01          	-4.935434e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0102041     	-5.074277e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0104082     	-5.171832e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0106167     	-5.291194e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0108252     	-5.389508e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0110337     	-5.492932e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0112422     	-5.592958e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0114508     	-5.691929e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0116645     	-5.797192e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0118782     	-5.896030e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0120919     	-5.994321e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0123057     	-6.094783e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0125194     	-6.184265e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0127331     	-6.269196e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0129469     	-6.357866e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0131673     	-6.432258e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0133877     	-6.500021e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0136081     	-6.556428e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0138285     	-6.614194e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0140489     	-6.660843e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0142693     	-6.703871e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0144897     	-6.743874e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0147102     	-6.777519e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0149306     	-6.808215e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.015151      	-6.827825e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0153714     	-6.837612e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0155918     	-6.839182e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0158122     	-6.829097e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0160326     	-6.810214e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.016253      	-6.778118e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0164734     	-6.736080e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0166938     	-6.607473e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0169143     	-6.603849e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0171347     	-6.475476e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0173551     	-6.434406e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0175755     	-6.302734e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0177959     	-6.220931e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0180163     	-6.082995e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0182367     	-5.967747e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0184571     	-5.816693e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0186775     	-5.674788e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0188979     	-5.507012e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0191184     	-5.345814e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0193388     	-5.165414e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0195592     	-4.983366e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0197796     	-4.796369e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.02          	-4.605463e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0202381     	-4.383181e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0204762     	-4.171556e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0207143     	-3.951315e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0209524     	-3.733847e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0211905     	-3.517383e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0214286     	-3.306559e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0216667     	-3.091934e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0219048     	-2.892307e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0221429     	-2.693795e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.022381      	-2.502519e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.022619      	-2.318315e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0228571     	-2.149285e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0230952     	-1.974061e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0233333     	-1.835773e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0235714     	-1.670653e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0238095     	-1.561020e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0240476     	-1.417505e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0242857     	-1.340111e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0245238     	-1.211385e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0247619     	-1.160859e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.025         	-1.078940e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0252273     	-1.045860e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0254545     	-9.897435e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0256818     	-9.840920e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0259091     	-9.476784e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0261364     	-9.700887e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0263636     	-9.621016e-01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0265909     	-1.005698e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0268182     	-1.025099e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0270455     	-1.088241e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0272727     	-1.124737e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0275        	-1.221818e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0277273     	-1.266302e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0279545     	-1.380168e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0281818     	-1.445256e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0284091     	-1.566364e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0286364     	-1.651559e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0288636     	-1.787069e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0290909     	-1.881481e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0293182     	-2.051065e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0295455     	-2.142457e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0297727     	-2.323145e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.03          	-2.412943e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0302273     	-2.608032e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0304545     	-2.719364e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0306818     	-2.926648e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0309091     	-3.076336e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0311364     	-3.291063e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0313636     	-3.463937e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0315909     	-3.704602e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0318182     	-3.898090e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0320455     	-4.192706e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0322727     	-4.422368e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
