"Cell Type","U:0","U:1","U:2","V","Volume","epsilon","k","nut","p"
12,9.86474,-0.859643,0,5.04673e-10,5.046727e-10,278.198,0.353518,4.04307e-05,-0.21348
12,9.67821,-0.676844,0,4.84509e-10,4.845096e-10,262.848,0.334012,3.81999e-05,-2.5495
12,9.46311,-0.367886,0,4.65152e-10,4.651519e-10,248.265,0.315481,3.60805e-05,-3.71994
12,9.22664,-0.174575,0,4.46567e-10,4.465671e-10,235.465,0.299216,3.42205e-05,-4.01891
12,9.00345,-0.0759727,0,4.28725e-10,4.287252e-10,225.267,0.286259,3.27389e-05,-4.1833
12,8.80908,-0.027969,0,4.11596e-10,4.115966e-10,217.985,0.277009,3.16815e-05,-4.33548
12,8.64311,-0.00468532,0,3.95152e-10,3.951519e-10,213.587,0.271427,3.10437e-05,-4.45242
12,8.5018,0.0067128,0,3.79364e-10,3.79364e-10,211.818,0.269189,3.07888e-05,-4.53214
12,8.38144,0.0123531,0,3.64207e-10,3.642074e-10,212.306,0.269821,3.08625e-05,-4.59103
12,8.27831,0.0151064,0,3.49656e-10,3.49656e-10,214.632,0.272792,3.12041e-05,-4.6387
12,8.18888,0.016399,0,3.35686e-10,3.35686e-10,218.384,0.27758,3.1754e-05,-4.67617
12,8.11012,0.0169884,0,3.22274e-10,3.222744e-10,223.188,0.283708,3.24576e-05,-4.70248
12,8.03956,0.0172845,0,3.09398e-10,3.093985e-10,228.72,0.290768,3.32683e-05,-4.71702
12,7.97517,0.0175339,0,2.97037e-10,2.970369e-10,234.716,0.298421,3.41475e-05,-4.71836
12,7.91467,0.0179065,0,2.85169e-10,2.851693e-10,240.967,0.306405,3.50652e-05,-4.70382
12,7.85704,0.0187053,0,2.73776e-10,2.737758e-10,247.309,0.314512,3.5998e-05,-4.66616
12,7.79388,0.0207611,0,2.62838e-10,2.628376e-10,253.694,0.322688,3.69401e-05,-4.60176
12,7.74132,0.0260697,0,2.52336e-10,2.523364e-10,263.307,0.335023,3.83645e-05,-4.46393
12,10.0523,0.269039,0,5.40895e-10,5.408947e-10,60.3649,0.434421,0.00028137,-3.80194
12,10.1165,0.363599,0,5.19284e-10,5.192845e-10,85.076,0.444214,0.000208747,-4.46654
12,10.1146,0.27189,0,4.98537e-10,4.985374e-10,96.1348,0.433119,0.000175621,-4.52751
12,10.0801,0.184227,0,4.78619e-10,4.786187e-10,105.375,0.428598,0.000156893,-4.37905
12,10.0391,0.128461,0,4.59496e-10,4.594963e-10,116.727,0.434925,0.000145848,-4.33414
12,9.99303,0.0949265,0,4.41138e-10,4.411383e-10,130.911,0.450284,0.000139393,-4.39952
12,9.93925,0.0742481,0,4.23513e-10,4.235133e-10,147.839,0.471965,0.000135604,-4.47554
12,9.87921,0.0609436,0,4.06592e-10,4.065922e-10,167.085,0.49751,0.000133324,-4.53415
12,9.81613,0.0518932,0,3.90348e-10,3.903478e-10,188.062,0.524932,0.00013187,-4.58137
12,9.75253,0.0453466,0,3.74752e-10,3.74752e-10,210.142,0.552758,0.000130858,-4.62199
12,9.68986,0.0404237,0,3.59779e-10,3.597793e-10,232.734,0.579972,0.000130076,-4.65528
12,9.62886,0.0367057,0,3.45405e-10,3.454051e-10,255.333,0.605925,0.000129412,-4.67936
12,9.56989,0.0339697,0,3.31605e-10,3.316051e-10,277.537,0.630252,0.00012881,-4.69299
12,9.51305,0.032147,0,3.18356e-10,3.183562e-10,299.055,0.652791,0.000128245,-4.69446
12,9.45789,0.0311779,0,3.05637e-10,3.056369e-10,319.739,0.673579,0.00012771,-4.68131
12,9.40484,0.0317908,0,2.93426e-10,2.934257e-10,339.484,0.692657,0.000127192,-4.64749
12,9.35065,0.0332105,0,2.81702e-10,2.817023e-10,358.864,0.710912,0.000126749,-4.59115
12,9.30564,0.0440512,0,2.70447e-10,2.704474e-10,377.52,0.72732,0.000126111,-4.4942
12,9.99814,0.041188,0,5.79717e-10,5.797166e-10,25.1677,0.395004,0.000557959,-3.93258
12,10.0222,0.0268971,0,5.56555e-10,5.565553e-10,35.8438,0.409931,0.00042194,-3.80025
12,10.0523,0.00994633,0,5.34319e-10,5.343191e-10,42.8335,0.408986,0.00035146,-3.96611
12,10.0698,0.0198399,0,5.12971e-10,5.129708e-10,47.957,0.403831,0.000306048,-4.10075
12,10.0769,0.0364452,0,4.92476e-10,4.924759e-10,52.6691,0.400058,0.000273484,-4.20907
12,10.0773,0.0463747,0,4.728e-10,4.728003e-10,57.5949,0.399034,0.000248816,-4.32893
12,10.0709,0.050446,0,4.5391e-10,4.539102e-10,63.0195,0.400825,0.000229444,-4.43154
12,10.0586,0.0516413,0,4.35775e-10,4.357747e-10,69.0702,0.405128,0.000213863,-4.50626
12,10.0418,0.0515604,0,4.18364e-10,4.183644e-10,75.767,0.411509,0.000201151,-4.56332
12,10.0218,0.0509211,0,4.01649e-10,4.016492e-10,83.0591,0.419505,0.000190691,-4.61033
12,9.99947,0.0501199,0,3.85602e-10,3.856019e-10,90.8555,0.428679,0.000182036,-4.64836
12,9.97532,0.0494161,0,3.70196e-10,3.70196e-10,99.0474,0.438653,0.00017484,-4.6764
12,9.94976,0.0489827,0,3.55405e-10,3.554055e-10,107.525,0.449115,0.00016883,-4.6936
12,9.92305,0.0490124,0,3.41206e-10,3.412057e-10,116.188,0.459827,0.000163783,-4.69871
12,9.89518,0.0496676,0,3.27573e-10,3.275734e-10,124.963,0.470628,0.000159521,-4.68991
12,9.86631,0.0516679,0,3.14486e-10,3.144858e-10,133.812,0.481419,0.000155881,-4.66318
12,9.83604,0.0550579,0,3.01921e-10,3.019211e-10,142.796,0.492309,0.000152757,-4.61926
12,9.80605,0.0641877,0,2.89858e-10,2.898583e-10,151.996,0.503124,0.000149886,-4.55595
12,9.99675,0.00544693,0,6.21325e-10,6.213249e-10,17.4931,0.379552,0.000741172,-3.78904
12,10.0082,0.0255365,0,5.96501e-10,5.965013e-10,21.2117,0.384553,0.000627449,-3.71136
12,10.0339,0.0405214,0,5.72669e-10,5.726691e-10,24.5599,0.386029,0.000546079,-3.996
12,10.0523,0.0516212,0,5.49789e-10,5.497885e-10,27.3951,0.385018,0.000487004,-4.17439
12,10.0635,0.0579386,0,5.27823e-10,5.278227e-10,29.9014,0.383067,0.000441674,-4.26279
12,10.072,0.0596431,0,5.06735e-10,5.067349e-10,32.2463,0.381123,0.000405408,-4.35478
12,10.0777,0.0591984,0,4.86489e-10,4.86489e-10,34.5494,0.379639,0.000375442,-4.44384
12,10.08,0.0582925,0,4.67052e-10,4.670519e-10,36.8939,0.378812,0.000350055,-4.51362
12,10.0795,0.0573947,0,4.48392e-10,4.483919e-10,39.3309,0.378698,0.000328167,-4.56841
12,10.0768,0.0565755,0,4.30477e-10,4.30477e-10,41.8856,0.379269,0.000309082,-4.61426
12,10.0724,0.055902,0,4.13278e-10,4.132779e-10,44.5651,0.38046,0.000292325,-4.652
12,10.0662,0.0554829,0,3.96766e-10,3.967663e-10,47.3651,0.382187,0.000277547,-4.68051
12,10.0586,0.0554459,0,3.80914e-10,3.809142e-10,50.2757,0.38437,0.000264474,-4.69896
