Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,V,epsilon,k,nut,p
internalMesh,0,-0.019809,0.000159,0.000000,0.019809,9.864740,-0.859643,0.000000,9.902125,0.000000,278.197998,0.353518,0.000040,-0.213480
internalMesh,1,-0.018257,0.000159,0.000000,0.018258,9.678210,-0.676844,0.000000,9.701849,0.000000,262.847992,0.334012,0.000038,-2.549500
internalMesh,2,-0.016768,0.000159,0.000000,0.016769,9.463110,-0.367886,0.000000,9.470258,0.000000,248.264999,0.315481,0.000036,-3.719940
internalMesh,3,-0.015338,0.000159,0.000000,0.015339,9.226640,-0.174575,0.000000,9.228292,0.000000,235.464996,0.299216,0.000034,-4.018910
internalMesh,4,-0.013966,0.000159,0.000000,0.013967,9.003450,-0.075973,0.000000,9.003771,0.000000,225.266998,0.286259,0.000033,-4.183300
internalMesh,5,-0.012648,0.000159,0.000000,0.012649,8.809080,-0.027969,0.000000,8.809125,0.000000,217.985001,0.277009,0.000032,-4.335480
internalMesh,6,-0.011383,0.000159,0.000000,0.011384,8.643110,-0.004685,0.000000,8.643111,0.000000,213.587006,0.271427,0.000031,-4.452420
internalMesh,7,-0.010168,0.000159,0.000000,0.010170,8.501800,0.006713,0.000000,8.501802,0.000000,211.817993,0.269189,0.000031,-4.532140
internalMesh,8,-0.009002,0.000159,0.000000,0.009004,8.381440,0.012353,0.000000,8.381450,0.000000,212.306000,0.269821,0.000031,-4.591030
internalMesh,9,-0.007883,0.000159,0.000000,0.007884,8.278310,0.015106,0.000000,8.278323,0.000000,214.632004,0.272792,0.000031,-4.638700
internalMesh,10,-0.006808,0.000159,0.000000,0.006810,8.188880,0.016399,0.000000,8.188896,0.000000,218.384003,0.277580,0.000032,-4.676170
internalMesh,11,-0.005776,0.000159,0.000000,0.005778,8.110120,0.016988,0.000000,8.110138,0.000000,223.188004,0.283708,0.000032,-4.702480
internalMesh,12,-0.004786,0.000159,0.000000,0.004788,8.039560,0.017284,0.000000,8.039578,0.000000,228.720001,0.290768,0.000033,-4.717020
internalMesh,13,-0.003835,0.000159,0.000000,0.003838,7.975170,0.017534,0.000000,7.975189,0.000000,234.716003,0.298421,0.000034,-4.718360
internalMesh,14,-0.002922,0.000159,0.000000,0.002926,7.914670,0.017907,0.000000,7.914690,0.000000,240.966995,0.306405,0.000035,-4.703820
internalMesh,15,-0.002045,0.000159,0.000000,0.002051,7.857040,0.018705,0.000000,7.857062,0.000000,247.309006,0.314512,0.000036,-4.666160
internalMesh,16,-0.001204,0.000159,0.000000,0.001214,7.793880,0.020761,0.000000,7.793908,0.000000,253.694000,0.322688,0.000037,-4.601760
internalMesh,17,-0.000396,0.000159,0.000000,0.000427,7.741320,0.026070,0.000000,7.741364,0.000000,263.307007,0.335023,0.000038,-4.463930
internalMesh,18,-0.019809,0.000490,0.000000,0.019815,10.052300,0.269039,0.000000,10.055900,0.000000,60.364899,0.434421,0.000281,-3.801940
internalMesh,19,-0.018257,0.000490,0.000000,0.018264,10.116500,0.363599,0.000000,10.123032,0.000000,85.075996,0.444214,0.000209,-4.466540
internalMesh,20,-0.016768,0.000490,0.000000,0.016775,10.114600,0.271890,0.000000,10.118254,0.000000,96.134804,0.433119,0.000176,-4.527510
internalMesh,21,-0.015338,0.000490,0.000000,0.015346,10.080100,0.184227,0.000000,10.081783,0.000000,105.375000,0.428598,0.000157,-4.379050
internalMesh,22,-0.013966,0.000490,0.000000,0.013974,10.039100,0.128461,0.000000,10.039922,0.000000,116.726997,0.434925,0.000146,-4.334140
internalMesh,23,-0.012648,0.000490,0.000000,0.012657,9.993030,0.094926,0.000000,9.993481,0.000000,130.910995,0.450284,0.000139,-4.399520
internalMesh,24,-0.011383,0.000490,0.000000,0.011393,9.939250,0.074248,0.000000,9.939528,0.000000,147.839005,0.471965,0.000136,-4.475540
internalMesh,25,-0.010168,0.000490,0.000000,0.010180,9.879210,0.060944,0.000000,9.879398,0.000000,167.085007,0.497510,0.000133,-4.534150
internalMesh,26,-0.009002,0.000490,0.000000,0.009016,9.816130,0.051893,0.000000,9.816267,0.000000,188.061996,0.524932,0.000132,-4.581370
internalMesh,27,-0.007883,0.000490,0.000000,0.007898,9.752530,0.045347,0.000000,9.752636,0.000000,210.141998,0.552758,0.000131,-4.621990
internalMesh,28,-0.006808,0.000490,0.000000,0.006826,9.689860,0.040424,0.000000,9.689944,0.000000,232.733994,0.579972,0.000130,-4.655280
internalMesh,29,-0.005776,0.000490,0.000000,0.005797,9.628860,0.036706,0.000000,9.628930,0.000000,255.332993,0.605925,0.000129,-4.679360
internalMesh,30,-0.004786,0.000490,0.000000,0.004811,9.569890,0.033970,0.000000,9.569950,0.000000,277.536987,0.630252,0.000129,-4.692990
internalMesh,31,-0.003835,0.000490,0.000000,0.003866,9.513050,0.032147,0.000000,9.513104,0.000000,299.054993,0.652791,0.000128,-4.694460
internalMesh,32,-0.002922,0.000490,0.000000,0.002962,9.457890,0.031178,0.000000,9.457941,0.000000,319.739014,0.673579,0.000128,-4.681310
internalMesh,33,-0.002045,0.000490,0.000000,0.002103,9.404840,0.031791,0.000000,9.404894,0.000000,339.484009,0.692657,0.000127,-4.647490
internalMesh,34,-0.001204,0.000490,0.000000,0.001299,9.350650,0.033211,0.000000,9.350709,0.000000,358.864014,0.710912,0.000127,-4.591150
internalMesh,35,-0.000396,0.000490,0.000000,0.000630,9.305640,0.044051,0.000000,9.305744,0.000000,377.519989,0.727320,0.000126,-4.494200
internalMesh,36,-0.019809,0.000844,0.000000,0.019827,9.998140,0.041188,0.000000,9.998225,0.000000,25.167700,0.395004,0.000558,-3.932580
internalMesh,37,-0.018257,0.000844,0.000000,0.018277,10.022200,0.026897,0.000000,10.022236,0.000000,35.843800,0.409931,0.000422,-3.800250
internalMesh,38,-0.016768,0.000844,0.000000,0.016789,10.052300,0.009946,0.000000,10.052305,0.000000,42.833500,0.408986,0.000351,-3.966110
internalMesh,39,-0.015338,0.000844,0.000000,0.015362,10.069800,0.019840,0.000000,10.069819,0.000000,47.957001,0.403831,0.000306,-4.100750
internalMesh,40,-0.013966,0.000844,0.000000,0.013991,10.076900,0.036445,0.000000,10.076965,0.000000,52.669102,0.400058,0.000273,-4.209070
