"Cell Type","U:0","U:1","U:2","V","epsilon","k","nut","p"
12,9.8647404,-0.85964298,0,5.0467303e-10,278.198,0.35351801,4.0430699e-05,-0.21348
12,9.6782103,-0.676844,0,4.8450899e-10,262.84799,0.334012,3.8199902e-05,-2.5495
12,9.46311,-0.36788601,0,4.65152e-10,248.265,0.31548101,3.6080499e-05,-3.7199399
12,9.2266397,-0.174575,0,4.4656701e-10,235.465,0.299216,3.4220498e-05,-4.0189099
12,9.0034504,-0.075972699,0,4.28725e-10,225.267,0.286259,3.2738899e-05,-4.1833
12,8.8090801,-0.027969001,0,4.1159601e-10,217.985,0.27700901,3.1681499e-05,-4.3354802
12,8.6431103,-0.00468532,0,3.9515199e-10,213.58701,0.27142701,3.1043699e-05,-4.4524202
12,8.5017996,0.0067127999,0,3.7936401e-10,211.81799,0.269189,3.07888e-05,-4.5321398
12,8.3814402,0.0123531,0,3.64207e-10,212.306,0.26982099,3.0862499e-05,-4.5910301
12,8.2783098,0.0151064,0,3.49656e-10,214.632,0.27279201,3.1204101e-05,-4.6387
12,8.18888,0.016399,0,3.3568601e-10,218.384,0.27757999,3.1754e-05,-4.6761699
12,8.1101198,0.0169884,0,3.2227401e-10,223.188,0.28370801,3.2457599e-05,-4.7024798
12,8.0395603,0.017284499,0,3.0939801e-10,228.72,0.290768,3.3268301e-05,-4.71702
12,7.9751701,0.0175339,0,2.9703701e-10,234.716,0.298421,3.4147499e-05,-4.7183599
12,7.91467,0.0179065,0,2.85169e-10,240.967,0.30640501,3.5065201e-05,-4.7038202
12,7.8570399,0.018705299,0,2.73776e-10,247.30901,0.31451201,3.5998e-05,-4.6661601
12,7.79388,0.020761101,0,2.62838e-10,253.694,0.32268801,3.6940099e-05,-4.6017599
12,7.7413201,0.026069701,0,2.5233601e-10,263.30701,0.33502299,3.8364498e-05,-4.4639301
12,10.0523,0.26903901,0,5.40895e-10,60.364899,0.434421,0.00028137001,-3.80194
12,10.1165,0.363599,0,5.19284e-10,85.075996,0.44421399,0.00020874701,-4.4665399
12,10.1146,0.27189001,0,4.9853699e-10,96.134804,0.433119,0.000175621,-4.5275102
12,10.0801,0.184227,0,4.7861898e-10,105.375,0.42859799,0.000156893,-4.3790498
12,10.0391,0.128461,0,4.59496e-10,116.727,0.43492499,0.000145848,-4.3341398
12,9.9930296,0.094926499,0,4.4113799e-10,130.911,0.450284,0.000139393,-4.3995199
12,9.93925,0.074248098,0,4.23513e-10,147.839,0.47196499,0.000135604,-4.4755402
12,9.8792105,0.0609436,0,4.0659201e-10,167.08501,0.49750999,0.00013332401,-4.5341501
12,9.8161297,0.051893201,0,3.90348e-10,188.062,0.52493203,0.00013186999,-4.5813699
12,9.7525301,0.045346599,0,3.7475201e-10,210.142,0.55275798,0.000130858,-4.6219902
12,9.6898603,0.040423699,0,3.5977901e-10,232.73399,0.57997203,0.00013007601,-4.6552801
12,9.6288605,0.036705699,0,3.4540501e-10,255.33299,0.60592502,0.000129412,-4.6793599
12,9.56989,0.0339697,0,3.3160499e-10,277.53699,0.630252,0.00012881,-4.6929898
12,9.5130501,0.032147001,0,3.1835601e-10,299.05499,0.65279102,0.000128245,-4.6944599
12,9.4578896,0.031177901,0,3.0563699e-10,319.73901,0.67357898,0.00012770999,-4.6813102
12,9.4048405,0.0317908,0,2.9342601e-10,339.48401,0.69265699,0.000127192,-4.64749
12,9.3506498,0.033210501,0,2.81702e-10,358.86401,0.71091199,0.000126749,-4.5911498
12,9.3056402,0.0440512,0,2.70447e-10,377.51999,0.72732002,0.000126111,-4.4942002
