"U:0","U:1","U:2","V","epsilon","k","nut","p","Face Count","Cell Type"
9.8647,-0.85964,0,5.0467e-10,278.2,0.35352,4.0431e-05,-0.21348,6,12
9.6782,-0.67684,0,4.8451e-10,262.85,0.33401,3.82e-05,-2.5495,6,12
9.4631,-0.36789,0,4.6515e-10,248.26,0.31548,3.608e-05,-3.7199,6,12
9.2266,-0.17458,0,4.4657e-10,235.46,0.29922,3.422e-05,-4.0189,6,12
9.0035,-0.075973,0,4.2872e-10,225.27,0.28626,3.2739e-05,-4.1833,6,12
8.8091,-0.027969,0,4.116e-10,217.99,0.27701,3.1681e-05,-4.3355,6,12
8.6431,-0.0046853,0,3.9515e-10,213.59,0.27143,3.1044e-05,-4.4524,6,12
8.5018,0.0067128,0,3.7936e-10,211.82,0.26919,3.0789e-05,-4.5321,6,12
8.3814,0.012353,0,3.6421e-10,212.31,0.26982,3.0862e-05,-4.591,6,12
8.2783,0.015106,0,3.4966e-10,214.63,0.27279,3.1204e-05,-4.6387,6,12
8.1889,0.016399,0,3.3569e-10,218.38,0.27758,3.1754e-05,-4.6762,6,12
8.1101,0.016988,0,3.2227e-10,223.19,0.28371,3.2458e-05,-4.7025,6,12
8.0396,0.017284,0,3.094e-10,228.72,0.29077,3.3268e-05,-4.717,6,12
7.9752,0.017534,0,2.9704e-10,234.72,0.29842,3.4147e-05,-4.7184,6,12
7.9147,0.017907,0,2.8517e-10,240.97,0.30641,3.5065e-05,-4.7038,6,12
7.857,0.018705,0,2.7378e-10,247.31,0.31451,3.5998e-05,-4.6662,6,12
7.7939,0.020761,0,2.6284e-10,253.69,0.32269,3.694e-05,-4.6018,6,12
7.7413,0.02607,0,2.5234e-10,263.31,0.33502,3.8364e-05,-4.4639,6,12
10.052,0.26904,0,5.4089e-10,60.365,0.43442,0.00028137,-3.8019,6,12
10.116,0.3636,0,5.1928e-10,85.076,0.44421,0.00020875,-4.4665,6,12
10.115,0.27189,0,4.9854e-10,96.135,0.43312,0.00017562,-4.5275,6,12
10.08,0.18423,0,4.7862e-10,105.38,0.4286,0.00015689,-4.379,6,12
10.039,0.12846,0,4.595e-10,116.73,0.43492,0.00014585,-4.3341,6,12
9.993,0.094926,0,4.4114e-10,130.91,0.45028,0.00013939,-4.3995,6,12
9.9392,0.074248,0,4.2351e-10,147.84,0.47196,0.0001356,-4.4755,6,12
9.8792,0.060944,0,4.0659e-10,167.09,0.49751,0.00013332,-4.5342,6,12
9.8161,0.051893,0,3.9035e-10,188.06,0.52493,0.00013187,-4.5814,6,12
9.7525,0.045347,0,3.7475e-10,210.14,0.55276,0.00013086,-4.622,6,12
9.6899,0.040424,0,3.5978e-10,232.73,0.57997,0.00013008,-4.6553,6,12
9.6289,0.036706,0,3.4541e-10,255.33,0.60593,0.00012941,-4.6794,6,12
9.5699,0.03397,0,3.316e-10,277.54,0.63025,0.00012881,-4.693,6,12
9.5131,0.032147,0,3.1836e-10,299.05,0.65279,0.00012824,-4.6945,6,12
9.4579,0.031178,0,3.0564e-10,319.74,0.67358,0.00012771,-4.6813,6,12
9.4048,0.031791,0,2.9343e-10,339.48,0.69266,0.00012719,-4.6475,6,12
9.3506,0.033211,0,2.817e-10,358.86,0.71091,0.00012675,-4.5911,6,12
9.3056,0.044051,0,2.7045e-10,377.52,0.72732,0.00012611,-4.4942,6,12
9.9981,0.041188,0,5.7972e-10,25.168,0.395,0.00055796,-3.9326,6,12
10.022,0.026897,0,5.5656e-10,35.844,0.40993,0.00042194,-3.8003,6,12
10.052,0.0099463,0,5.3432e-10,42.833,0.40899,0.00035146,-3.9661,6,12
10.07,0.01984,0,5.1297e-10,47.957,0.40383,0.00030605,-4.1007,6,12
10.077,0.036445,0,4.9248e-10,52.669,0.40006,0.00027348,-4.2091,6,12
10.077,0.046375,0,4.728e-10,57.595,0.39903,0.00024882,-4.3289,6,12
10.071,0.050446,0,4.5391e-10,63.02,0.40082,0.00022944,-4.4315,6,12
10.059,0.051641,0,4.3577e-10,69.07,0.40513,0.00021386,-4.5063,6,12
10.042,0.05156,0,4.1836e-10,75.767,0.41151,0.00020115,-4.5633,6,12
10.022,0.050921,0,4.0165e-10,83.059,0.41951,0.00019069,-4.6103,6,12
9.9995,0.05012,0,3.856e-10,90.855,0.42868,0.00018204,-4.6484,6,12
9.9753,0.049416,0,3.702e-10,99.047,0.43865,0.00017484,-4.6764,6,12
9.9498,0.048983,0,3.5541e-10,107.53,0.44912,0.00016883,-4.6936,6,12
9.923,0.049012,0,3.4121e-10,116.19,0.45983,0.00016378,-4.6987,6,12
9.8952,0.049668,0,3.2757e-10,124.96,0.47063,0.00015952,-4.6899,6,12
9.8663,0.051668,0,3.1449e-10,133.81,0.48142,0.00015588,-4.6632,6,12
9.836,0.055058,0,3.0192e-10,142.8,0.49231,0.00015276,-4.6193,6,12
9.8061,0.064188,0,2.8986e-10,152,0.50312,0.00014989,-4.556,6,12
9.9967,0.0054469,0,6.2132e-10,17.493,0.37955,0.00074117,-3.789,6,12
10.008,0.025536,0,5.965e-10,21.212,0.38455,0.00062745,-3.7114,6,12
10.034,0.040521,0,5.7267e-10,24.56,0.38603,0.00054608,-3.996,6,12
10.052,0.051621,0,5.4979e-10,27.395,0.38502,0.000487,-4.1744,6,12
10.064,0.057939,0,5.2782e-10,29.901,0.38307,0.00044167,-4.2628,6,12
10.072,0.059643,0,5.0673e-10,32.246,0.38112,0.00040541,-4.3548,6,12
10.078,0.059198,0,4.8649e-10,34.549,0.37964,0.00037544,-4.4438,6,12
10.08,0.058293,0,4.6705e-10,36.894,0.37881,0.00035005,-4.5136,6,12
10.08,0.057395,0,4.4839e-10,39.331,0.3787,0.00032817,-4.5684,6,12
10.077,0.056575,0,4.3048e-10,41.886,0.37927,0.00030908,-4.6143,6,12
10.072,0.055902,0,4.1328e-10,44.565,0.38046,0.00029233,-4.652,6,12
10.066,0.055483,0,3.9677e-10,47.365,0.38219,0.00027755,-4.6805,6,12
10.059,0.055446,0,3.8091e-10,50.276,0.38437,0.00026447,-4.699,6,12
10.05,0.05598,0,3.657e-10,53.285,0.38693,0.00025288,-4.7064,6,12
10.039,0.057306,0,3.5108e-10,56.386,0.38982,0.00024255,-4.7016,6,12
10.028,0.060016,0,3.3706e-10,59.58,0.393,0.00023331,-4.6824,6,12
10.015,0.064417,0,3.2359e-10,62.884,0.39648,0.00022498,-4.6505,6,12
10.001,0.072312,0,3.1066e-10,66.32,0.40021,0.00021736,-4.6078,6,12
9.9993,0.00695,0,6.6592e-10,15.48,0.37495,0.00081736,-3.8027,6,12
10.008,0.0344,0,6.3931e-10,16.727,0.3758,0.0007599,-3.8222,6,12
10.027,0.046713,0,6.1377e-10,18.137,0.37605,0.00070173,-4.0628,6,12
10.041,0.05115,0,5.8925e-10,19.515,0.37544,0.00065005,-4.2094,6,12
10.052,0.054138,0,5.6571e-10,20.813,0.37421,0.00060553,-4.2805,6,12
10.061,0.05576,0,5.4311e-10,22.032,0.37266,0.00056729,-4.3611,6,12
10.07,0.056189,0,5.2141e-10,23.193,0.37103,0.00053419,-4.4455,6,12
10.076,0.056131,0,5.0057e-10,24.318,0.36947,0.00050521,-4.5143,6,12
10.08,0.055946,0,4.8057e-10,25.429,0.36809,0.00047954,-4.5689,6,12
10.083,0.055754,0,4.6137e-10,26.539,0.36692,0.00045656,-4.6149,6,12
10.085,0.055666,0,4.4294e-10,27.659,0.36598,0.00043584,-4.6532,6,12
10.085,0.055824,0,4.2524e-10,28.794,0.36528,0.00041705,-4.683,6,12
10.085,0.056388,0,4.0825e-10,29.948,0.3648,0.00039993,-4.7036,6,12
10.083,0.057565,0,3.9194e-10,31.124,0.36453,0.00038425,-4.7145,6,12
10.08,0.059608,0,3.7628e-10,32.323,0.36446,0.00036985,-4.7151,6,12
10.076,0.06298,0,3.6125e-10,33.551,0.36457,0.00035655,-4.7046,6,12
10.071,0.068029,0,3.4682e-10,34.815,0.36489,0.00034418,-4.6847,6,12
10.066,0.075574,0,3.3296e-10,36.117,0.36538,0.00033267,-4.6582,6,12
10,0.0092511,0,7.1371e-10,14.906,0.37348,0.00084218,-3.8664,6,12
10.008,0.032456,0,6.852e-10,15.232,0.37252,0.00081996,-3.9086,6,12
10.022,0.042151,0,6.5782e-10,15.731,0.37169,0.00079043,-4.0851,6,12
10.035,0.045856,0,6.3154e-10,16.308,0.37069,0.00075836,-4.2137,6,12
10.044,0.049414,0,6.0631e-10,16.911,0.36947,0.00072651,-4.2884,6,12
10.054,0.052045,0,5.8208e-10,17.512,0.36808,0.00069629,-4.3672,6,12
10.062,0.053274,0,5.5883e-10,18.099,0.36658,0.00066821,-4.4485,6,12
10.069,0.053762,0,5.365e-10,18.67,0.36505,0.00064236,-4.5164,6,12
10.075,0.054017,0,5.1507e-10,19.228,0.36353,0.00061858,-4.5712,6,12
10.08,0.054236,0,4.9449e-10,19.774,0.36207,0.00059668,-4.6176,6,12
10.084,0.054549,0,4.7473e-10,20.312,0.3607,0.00057646,-4.6569,6,12
10.087,0.055112,0,4.5577e-10,20.846,0.35942,0.00055773,-4.6885,6,12
10.089,0.056097,0,4.3755e-10,21.377,0.35824,0.00054033,-4.7118,6,12
10.09,0.057714,0,4.2007e-10,21.908,0.35718,0.0005241,-4.7269,6,12
10.09,0.060216,0,4.0329e-10,22.441,0.35622,0.00050891,-4.7334,6,12
10.09,0.063972,0,3.8718e-10,22.979,0.35537,0.00049463,-4.7318,6,12
10.089,0.069305,0,3.7171e-10,23.527,0.35464,0.00048112,-4.7238,6,12
10.088,0.076715,0,3.5686e-10,24.08,0.35403,0.00046844,-4.7128,6,12
10,0.0088915,0,7.6494e-10,14.745,0.37301,0.00084928,-3.9264,6,12
10.007,0.027732,0,7.3438e-10,14.737,0.37129,0.00084189,-3.965,6,12
10.019,0.037359,0,7.0504e-10,14.829,0.36979,0.00082992,-4.1005,6,12
10.03,0.042062,0,6.7687e-10,14.995,0.36837,0.00081449,-4.2213,6,12
10.039,0.046062,0,6.4983e-10,15.208,0.36696,0.00079691,-4.3008,6,12
10.048,0.048959,0,6.2386e-10,15.449,0.36552,0.00077833,-4.3768,6,12
10.056,0.05046,0,5.9894e-10,15.705,0.36406,0.00075954,-4.4537,6,12
10.063,0.051209,0,5.7501e-10,15.966,0.36259,0.00074106,-4.5202,6,12
10.069,0.051724,0,5.5203e-10,16.229,0.36112,0.00072318,-4.5751,6,12
10.075,0.05221,0,5.2998e-10,16.49,0.35967,0.00070603,-4.6221,6,12
10.079,0.052798,0,5.088e-10,16.749,0.35826,0.00068967,-4.6626,6,12
10.083,0.053643,0,4.8848e-10,17.006,0.3569,0.00067412,-4.6962,6,12
10.087,0.054924,0,4.6896e-10,17.261,0.3556,0.00065933,-4.7228,6,12
10.089,0.056842,0,4.5022e-10,17.514,0.35436,0.00064528,-4.7424,6,12
10.091,0.059634,0,4.3224e-10,17.766,0.35318,0.00063191,-4.7556,6,12
10.093,0.063597,0,4.1497e-10,18.019,0.35208,0.00061914,-4.7631,6,12
10.094,0.069006,0,3.9839e-10,18.274,0.35104,0.00060693,-4.7671,6,12
10.096,0.076204,0,3.8247e-10,18.528,0.35009,0.00059537,-4.7708,6,12
